Taxon name,Author
Abelmoschus esculentus,(L.) Moench      
Abelmoschus manihot,(L.) Medik.      
Abutilon auritum,(Wall. ex Link) Sweet    
Abutilon megapotamicum,(A.Spreng.) A.St.-Hil. & Naudin    
Acacia auriculiformis,Benth.       
Acacia baileyana,F.Muell.       
Acacia balfourii,Woodrow       
Acacia concurrens,Pedley       
Acacia confusa,Merr.       
Acacia cornigera,(L.) Willd.      
Acacia cultriformis,G.Don       
Acacia dealbata,Link       
Acacia decora,Rchb.f.       
Acacia decurrens,Willd.       
Acacia elata,Benth.       
Acacia farnesiana,(L.) Willd.      
Acacia holosericea,G.Don       
Acacia karroo,Hayne       
Acacia linifolia,(Vent.) Willd.      
Acacia longifolia,(Andrews) Willd.      
Acacia maidenii,F.Muell.       
Acacia mangium,Willd.       
Acacia mearnsii,De Wild.      
Acacia melanoxylon,R.Br.       
Acacia myrtifolia,(Sm.) Willd.      
Acacia neriifolia,Benth.       
Acacia nilotica,(L.) Delile      
Acacia omalophylla,Benth.       
Acacia paradoxa,DC.       
Acacia podalyriifolia,G.Don       
Acacia pulchella,R.Br.       
Acacia pycnantha,Benth.       
Acacia retinodes,Schltdl.       
Acacia richii,A.Gray       
Acacia robusta,Burch.       
Acacia saligna,(Labill.) H.L. Wendl.     
Acacia senegal,(L.) Willd.      
Acacia tortilis,(Forssk.) Hayne      
Acacia truncata,Hoffmanns.       
Acacia verticillata,(L'Her.) Willd.      
Acacia willdenowiana,Wendl.       
Acalypha amentacea,Roxb.       
Acalypha australis,L.       
Acalypha chamaedrifolia,(Lam.) M∏ll.Arg.      
Acalypha ciliata,Forssk.       
Acalypha hispida,Burm.f.       
Acalypha wilkesiana,M∏ll.Arg.       
Acanthospermum hispidum,DC.       
Acanthus mollis,L.       
Acanthus montanus,(Nees) T.Anderson      
Acca sellowiana,(O.Berg) Burret      
Acer pseudoplatanus,L.       
Achetaria azurea,(Linden) V.C.Souza      
Achillea millefolium,L.       
Achimenes grandiflora,(Schiede) DC.      
Achimenes longiflora,DC.       
Achyranthes aspera,L.       
Acmella ciliata,(Kunth) Cass.      
Acmella radicans,(Jacq.) R.K.Jansen      
Acmella uliginosa,(Sw.) Cass.      
Acokanthera oblongifolia,(Hochst.) Benth. & Hook.f. ex B.D.Jacks.  
Adansonia digitata,L.       
Adenanthera microsperma,Teijsm. & Binn.     
Adenium obesum,(Forssk.) Roem. & Schult.    
Adenophyllum cooperi,(A.Gray) Strother      
Adenostemma lavenia,(L.) Kuntze      
Adonidia merrillii,(Becc.) Becc.      
Aeluropus lagopoides,(L.) Thwaites      
Aeonium arboreum,Webb & Berthel.     
Aerva javanica,(Burm.f.) Juss. ex Schult.    
Aeschynomene americana,L.       
Aeschynomene brasiliana,(Poir.) DC.      
Aeschynomene indica,L.       
Afrocarpus gracilior,(Pilg.) C.N.Page      
Afzelia martabanica,(Prain) J.Leonard      
Agapanthus africanus,(L.) Hoffmanns.      
Agapanthus praecox,Willd.       
Agathis macrophylla,(Lindl.) Mast.      
Agathis robusta,(C.Moore ex F.Muell.) F.M.Bailey    
Agave americana,L.       
Agave cantala,(Haw.) Roxb. ex Salm-Dyck    
Agave decipiens,Baker       
Agave salmiana,Otto ex Salm-Dyck     
Agave sisalana,Perrine       
Agave vera-cruz,Mill.       
Agave victoriae-reginae,T.Moore       
Agave vivipara,L.       
Ageratina adenophora,(Spreng.) R.M.King & H.Rob.    
Ageratina ligustrina,(DC.) R.M.King & H.Rob.    
Ageratina riparia,(Regel) R.M.King & H.Rob.    
Ageratum conyzoides,(L.) L.      
Ageratum houstonianum,Mill.       
Aglaia odorata,Lour.       
Agonis flexuosa,(Muhl. ex Willd.) Sweet    
Agrostemma githago,L.       
Agrostis idahoensis,Nash       
Aidia cochinchinensis,Lour.       
Ailanthus altissima,(Mill.) Swingle      
Aiphanes horrida,(Jacq.) Burret      
Albizia lebbeck,(L.) Benth.      
Albizia niopoides,(Benth.) Burkart      
Albizia saman,(Jacq.) Merr.      
Alcea rosea,L.       
Aleurites moluccanus,(L.) Willd.      
Aleurites rockinghamensis,(Baill.) P.I.Forst.      
Alisma gramineum,Lej.       
Alisma lanceolatum,With.       
Allamanda blanchetii,A.DC.       
Allamanda cathartica,L.       
Allamanda schottii,Pohl       
Alliaria petiolata,(M.Bieb.) Cavara & Grande    
Allium ampeloprasum,L.       
Allium cepa,L.       
Allium sativum,L.       
Allocasuarina acuaria,(F.Muell.) L.A.S.Johnson      
Allocasuarina littoralis,(Salisb.) L.A.S.Johnson      
Allocasuarina torulosa,(Aiton) L.A.S.Johnson      
Allocasuarina verticillata,(Lam.) L.A.S.Johnson      
Alnus glutinosa,(L.) Gaertn.      
Alocasia macrorrhizos,(L.) G.Don      
Alocasia sanderiana,W.Bull       
Aloe variegata,L.       
Aloe vera,(L.) Burm.f.      
Alopecurus aequalis,Sobol.       
Alopecurus arundinaceus,Poir.       
Aloysia citriodora,Palau       
Alphitonia excelsa,(Fenzl) Reissek ex Benth.    
Alpinia nutans,(L.) Roscoe      
Alpinia oceanica,Burkill       
Alpinia purpurata,(Vieill.) K.Schum.      
Alpinia vittata,W.Bull       
Alstonia macrophylla,Wall. ex G.Don     
Alstonia neriifolia,D.Don       
Alstroemeria aurea,Graham       
Alternanthera bettzickiana,(Regel) G.Nicholson      
Alternanthera brasiliana,(L.) Kuntze      
Alternanthera caracasana,Kunth       
Alternanthera ficoidea,(L.) Sm.      
Alternanthera littoralis,P.Beauv.       
Alternanthera paronychioides,A.St.-Hil.       
Alternanthera philoxeroides,(Mart.) Griseb.      
Alternanthera pungens,Kunth       
Alternanthera sessilis,(L.) R.Br. ex DC.    
Alternanthera spinosa,(Hornem.) Schult.      
Althaea ludwigii,L.       
Althaea officinalis,L.       
Alysicarpus vaginalis,(L.) DC.      
Amaranthus blitum,L.       
Amaranthus caudatus,L.       
Amaranthus cruentus,L.       
Amaranthus hybridus,L.       
Amaranthus palmeri,S.Watson       
Amaranthus polygonoides,L.       
Amaranthus retroflexus,L.       
Amaranthus spinosus,L.       
Amaranthus tricolor,L.       
Amaranthus viridis,L.       
Amaryllis belladonna,L.       
Amberboa moschata,(L.) DC.      
Ambrosia artemisiifolia,L.       
Ambrosia polystachya,DC.       
Amherstia nobilis,Wall.       
Ammi majus,L.       
Amphilophium buccinatorium,(DC.) L.G.Lohmann      
Anacardium occidentale,L.       
Anagallis arvensis,L.       
Ananas comosus,(L.) Merr.      
Anchusa capensis,Thunb.       
Andira inermis,(Wright) DC.      
Andropogon hallii,Hack.       
Anethum graveolens,L.       
Angelonia biflora,Benth.       
Angelonia gardneri,Hook.       
Angelonia salicariifolia,Bonpl.       
Angophora floribunda,(Sm.) Sweet      
Angophora subvelutina,F.Muell.       
Anigozanthos flavidus,DC.       
Annona cherimola,Mill.       
Annona glabra,L.       
Annona muricata,L.       
Annona purpurea,Moc. & Sess» ex Dunal   
Annona reticulata,L.       
Annona squamosa,L.       
Anoda cristata,(L.) Schltdl.      
Anredera baselloides,(Kunth) Baill.      
Anredera cordifolia,(Ten.) Steenis      
Anthemis cotula,L.       
Anthoxanthum odoratum,L.       
Anthurium andraeanum,Linden ex Andr?©     
Anthurium spathiphyllum,N.E.Br.       
Antigonon leptopus,Hook. & Arn.     
Antirrhinum majus,L.       
Aphelandra arborea,(Mill.) M.R.Almeida      
Aphelandra aurantiaca,(Scheidw.) Lindl.      
Aphelandra pulcherrima,(Jacq.) Kunth      
Aphelandra scabra,(Vahl) Sm.      
Aphloia theiformis,(Vahl) Benn.      
Apium graveolens,L.       
Aponogeton abyssinicus,Hochst. ex A.Rich.     
Aponogeton distachyos,L.f.       
Aquilegia vulgaris,L.       
Arachis glabrata,Benth.       
Arachis hypogaea,L.       
Arachis pintoi,Krapov. & W.C.Greg.     
Araucaria angustifolia,(Bertol.) Kuntze      
Araucaria bidwillii,Hook.       
Araucaria columnaris,(G.Forst.) Hook.      
Araucaria cunninghamii,Mudie       
Araucaria heterophylla,(Salisb.) Franco      
Arceuthobium minutissimum,Hook.f.       
Arceuthobium oxycedri,(DC.) M.Bieb.      
Archontophoenix cunninghamiana,(H.Wendl.) H.Wendl. & Drude    
Arctium lappa,L.       
Arctotis fastuosa,Jacq.       
Arctotis stoechadifolia,P.J.Bergius       
Ardisia crenata,Sims       
Areca catechu,L.       
Arenaria serpyllifolia,L.       
Arenga obtusifolia,Mart.       
Arenga pinnata,(Wurmb) Merr.      
Arfeuillea arborescens,Pierre ex Radlk.     
Argemone mexicana,L.       
Argemone ochroleuca,Sweet       
Argemone subfusiformis,Ownbey       
Argyranthemum frutescens,(L.) Sch.Bip.      
Aristea ecklonii,Baker       
Aristida adscensionis,L.       
Aristida mutabilis,Trin. & Rupr.     
Aristolochia cymbifera,Mart.       
Aristolochia fimbriata,Cham.       
Aristolochia grandiflora,Sw.       
Aristolochia inflata,Kunth       
Aristolochia labiata,Willd.       
Aristolochia littoralis,Parodi       
Aristolochia ridicula,N.E.Br.       
Aristolochia ringens,Vahl       
Aristolochia tomentosa,Sims       
Aristolochia trilobata,L.       
Armoracia rusticana,"P.Gaertn., B.Mey. & Scherb.    "
Artabotrys hexapetalus,(L.f.) Bhandari      
Artemisia dracunculus,L.       
Artemisia siversiana,Ehrh. ex Willd.     
Artocarpus altilis,(Parkinson ex F.A.Zorn) Fosberg    
Arundo donax,L.       
Asclepias curassavica,L.       
Asparagus africanus,Lam.       
Asparagus densiflorus,(Kunth) Jessop      
Asparagus officinalis,L.       
Asparagus setaceus,(Kunth) Jessop      
Asphodelus tenuifolius,Cav.       
Aster amellus,L.       
Ateleia herbert-smithii,Pittier       
Atriplex hortensis,L.       
Atriplex vesicaria,Heward ex Benth.     
Attalea speciosa,Mart.       
Avena sativa,L.       
Avena sterilis,L.       
Averrhoa bilimbi,L.       
Averrhoa carambola,L.       
Axonopus compressus,(Sw.) P.Beauv.      
Axonopus fissifolius,(Raddi) Kuhlm.      
Ayapana triplinervis,(Vahl) R.M.King & H.Rob.    
Azadirachta indica,A.Juss.       
Azolla filiculoides,Lam.       
Babiana stricta,(Aiton) Ker Gawl.     
Babiana villosa,(Aiton) Ker Gawl.     
Bacopa monnieri,(L.) Wettst.      
Bambusa longispiculata,Gamble       
Bambusa multiplex,(Lour.) Raeusch. ex Schult.    
Bambusa tuldoides,Munro       
Bambusa vulgaris,Schrad.       
Banisteriopsis laevifolia,(A.Juss.) B.Gates      
Banksia marginata,Cav.       
Baphia massaiensis,Taub.       
Baphia nitida,Lodd.       
Barbarea intermedia,Boreau       
Barbarea verna,(Mill.) Asch.      
Barleria cristata,L.       
Barleria lupulina,Lindl.       
Barringtonia asiatica,(L.) Kurz      
Bartlettina sordida,(Less.) R.M.King & H.Rob.    
Bauhinia blakeana,Dunn       
Bauhinia carronii,F.Muell.       
Bauhinia galpinii,N.E.Br.       
Bauhinia hookeri,F.Muell.       
Bauhinia monandra,Kurz       
Bauhinia picta,(Kunth) DC.      
Bauhinia purpurea,L.       
Bauhinia rufescens,Lam.       
Bauhinia tomentosa,L.       
Bauhinia variegata,L.       
Beaucarnea recurvata,Lem.       
Beaucarnea stricta,Lem.       
Begonia cucullata,Willd.       
Begonia hirtella,Link       
Begonia manicata,Brongn.       
Bellis annua,L.       
Bellis perennis,L.       
Benincasa hispida,(Thunb.) Cogn.      
Berrya javanica,(Turcz.) Burret      
Beta vulgaris,L.       
Bidens aristosa,(Michx.) Britton      
Bidens biternata,(Lour.) Merr. & Sherff    
Bidens cernua,L.       
Bidens pilosa,L.       
Bidens triplinervia,Kunth       
Bignonia binata,Thunb.       
Bignonia callistegioides,Cham.       
Bignonia capreolata,L.       
Bignonia magnifica,W.Bull       
Billardiera heterophylla,(Lindl.) L.W.Cayzer & Crisp    
Billbergia pyramidalis,(Sims) Lindl.      
Biophytum sensitivum,(L.) DC.      
Bixa orellana,L.       
Blainvillea acmella,(L.) Philipson      
Blighia sapida,K.D.Koenig       
Blumea eriantha,DC.       
Blumea lacera,(Burm.f.) DC.      
Blumea obliqua,(L.) Druce      
Blumea viscosa,(Mill.) V.M.Badillo      
Boehmeria nivea,(L.) Gaudich.      
Boerhavia diffusa,L.       
Boerhavia erecta,L.       
Boesenbergia rotunda,(L.) Mansf.      
Bolusanthus speciosus,(Bolus) Harms      
Bomarea multiflora,(L.f.) Mirb.      
Borago officinalis,L.       
Borassus flabellifer,L.       
Bougainvillea glabra,Choisy       
Bougainvillea spectabilis,Willd.       
Brachiaria brizantha,(A.Rich.) Stapf      
Brachiaria decumbens,Stapf       
Brachiaria mutica,(Forssk.) Stapf      
Brachiaria ramosa,(L.) Stapf      
Brachiaria villosa,(Lam.) A.Camus      
Brachychiton acerifolius,(A.Cunn. ex G.Don) F.Muell.    
Brachychiton discolor,F.Muell.       
Brachychiton populneus,(Schott & Endl.) R.Br.    
Brachychiton rupestris,(T.Mitch. ex Lindl.) K.Schum.    
Brachyscome iberidifolia,Benth.       
Brassica cretica,Lam.       
Brassica juncea,(L.) Czern.      
Brassica napus,L.       
Brassica nigra,(L.) K.Koch      
Brassica oleracea,L.       
Brassica rapa,L.       
Brassica tournefortii,Gouan       
Brexia madagascariensis,(Lam.) Thouars ex Ker Gawl.   
Breynia disticha,J.R.Forst. & G.Forst.     
Briza maxima,L.       
Briza minor,L.       
Bromus arvensis,L.       
Bromus catharticus,Vahl       
Bromus diandrus,Roth       
Bromus inermis,Leyss.       
Bromus tectorum,L.       
Broussonetia papyrifera,(L.) L'H»r. ex Vent.    
Browallia americana,L.       
Browallia speciosa,Hook.       
Brownea ariza,Benth.       
Brownea coccinea,Jacq.       
Brownea grandiceps,Jacq.       
Brugmansia arborea,(L.) Steud.      
Brugmansia sanguinea,(Ruiz & Pav.) D.Don    
Brugmansia suaveolens,(Humb. & Bonpl. ex Willd.) Bercht. & J.Presl
Brugmansia versicolor,Lagerh.       
Brunfelsia americana,L.       
Brunfelsia densifolia,Krug & Urb.     
Brunfelsia grandiflora,D.Don       
Brunfelsia latifolia,(Pohl) Benth.      
Brunfelsia pauciflora,(Cham. & Schltdl.) Benth.    
Brunfelsia undulata,Sw.       
Brunfelsia uniflora,(Pohl) D.Don      
Brya ebenus,(L.) DC.      
Bryophyllum delagoense,(Eckl. & Zeyh.) Druce    
Bryophyllum fedtschenkoi,(Raym.-Hamet & H.Perrier) Lauz.-March.    
Bryophyllum pinnatum,(Lam.) Oken      
Buddleja asiatica,Lour.       
Buddleja davidii,Franch.       
Buddleja lindleyana,Fortune       
Buddleja madagascariensis,Lam.       
Bursera penicillata,(Sess» & Moc. ex DC.) Engl.  
Butia yatay,(Mart.) Becc.      
Butomus umbellatus,L.       
Buxus sempervirens,L.       
Byrsonima crassifolia,(L.) Kunth      
Cabomba caroliniana,A.Gray       
Cabomba furcata,Schult. & Schult.f.     
Caesalpinia coriaria,(Jacq.) Willd.      
Caesalpinia ferrea,Mart. ex Tul.     
Caesalpinia gilliesii,(Hook.) D.Dietr.      
Caesalpinia pulcherrima,(L.) Sw.      
Caesalpinia punctata,Willd.       
Caesalpinia sappan,L.       
Caesalpinia violacea,(Mill.) Standl.      
Cajanus cajan,(L.) Millsp.      
Caladium bicolor,(Aiton) Vent.      
Caladium lindenii,(Andr») Madison      
Calathea ornata,(Linden) K??rn.      
Calathea zebrina,(Sims) Lindl.      
Calceolaria mexicana,Benth.       
Calceolaria tripartita,Ruiz & Pav.     
Calendula officinalis,L.       
Callaeum macropterum,(DC.) D.M.Johnson      
Calliandra brevipes,Benth.       
Calliandra haematocephala,Hassk.       
Calliandra houstoniana,(Mill.) Standl.      
Calliandra inermis,(L.) Druce      
Calliandra surinamensis,Benth.       
Calliandra tergemina,(L.) Benth.      
Calliandra tweedii,Benth.       
Callianthe megapotamica,(A.Spreng.) Dorr      
Callianthe striata,(G.F.Dicks. ex Lindl.) Donnell    
Callisia repens,(Jacq.) L.      
Callistemon brachyandrus,Lindl.       
Callistemon citrinus,(Curtis) Skeels      
Callistemon coccineus,F.Muell.       
Callistemon lanceolatus,(Sm.) Sweet      
Callistemon linearis,(Schrad. & J.C.Wendl.) Colv. ex Sweet  
Callistemon polandii,F.M.Bailey       
Callistemon salignus,(Sm.) Colv. ex Sweet    
Callistemon viminalis,(Sol. ex Gaertn.) G.Don    
Callistephus chinensis,(L.) Nees      
Callitris columellaris,F.Muell.       
Callitris rhomboidea,R.Br. ex Rich. & A.Rich.   
Calluna vulgaris,(L.) Hull      
Calophyllum inophyllum,L.       
Calopogonium mucunoides,Desv.       
Calotropis gigantea,(L.) Dryand.      
Calotropis procera,(Aiton) Dryand.      
Calycophyllum spruceanum,(Benth.) Hook.f. ex K.Schum.    
Calyptocarpus vialis,Less.       
Camellia japonica,L.       
Camellia sinensis,(L.) Kuntze      
Campanula drabifolia,Sm.       
Campanula medium,L.       
Campanula rapunculoides,L.       
Campsis grandiflora,(Thunb.) K.Schum.      
Campsis radicans,(L.) Seem.      
Cananga odorata,(Lam.) Hook.f. & Thomson    
Canarium vulgare,Leenh.       
Canavalia africana,Dunn       
Canavalia ensiformis,(L.) DC.      
Canavalia gladiata,(Jacq.) DC.      
Canna flaccida,Salisb.       
Canna indica,L.       
Cannabis sativa,L.       
Canscora diffusa,(Vahl) R.Br. ex Roem. & Schult.  
Capsella bursa-pastoris,(L.) Medik.      
Capsicum annuum,L.       
Carapichea ipecacuanha,(Brot.) L.Andersson      
Cardamine africana,L.       
Cardamine flexuosa,With.       
Cardamine hirsuta,L.       
Cardamine trichocarpa,Hochst. ex A.Rich.     
Cardiospermum halicacabum,L.       
Carduus edelbergii,Rech.f.       
Carduus nutans,L.       
Carex diandra,Schrank       
Carex diluta,M.Bieb.       
Carica papaya,L.       
Carissa bispinosa,(L.) Desf. ex Brenan    
Carissa carandas,L.       
Carissa macrocarpa,(Eckl.) A.DC.      
Carpentaria acuminata,(H.Wendl. & Drude) Becc.    
Carpesium abrotanoides,L.       
Carthamus lanatus,L.       
Carthamus oxyacantha,M.Bieb.       
Carthamus tinctorius,L.       
Caryota urens,L.       
Cascabela thevetia,(L.) Lippold      
Casimiroa edulis,La Llave      
Cassia artemisioides,DC.       
Cassia grandis,L.f.       
Cassia javanica,L.       
Cassia phyllodinea,R.Br.       
Cassia renigera,Benth.       
Cassytha filiformis,L.       
Castanea crenata,Siebold & Zucc.     
Castanea sativa,Mill.       
Castanospermum australe,A.Cunn. ex Mudie     
Casuarina cunninghamiana,Miq.       
Casuarina equisetifolia,L.       
Casuarina glauca,Sieber ex Spreng.     
Catalpa bignonioides,Walter       
Catesbaea spinosa,L.       
Catha edulis,(Vahl) Endl.      
Catharanthus pusillus,(Murray) G.Don      
Catharanthus roseus,(L.) G.Don      
Ceiba insignis,(Kunth) P.E.Gibbs & Semir    
Ceiba pentandra,(L.) Gaertn.      
Ceiba speciosa,(A.St.-Hil.) Ravenna      
Ceiba ventricosa,(Nees & Mart.) Ravenna    
Celosia argentea,L.       
Celtis australis,L.       
Celtis sinensis,Pers.       
Cenchrus clandestinus,(Hochst. ex Chiov.) Morrone    
Cenchrus echinatus,L.       
Centaurea calcitrapa,L.       
Centaurea iberica,Trevir. ex Spreng.     
Centaurea melitensis,L.       
Centratherum punctatum,Cass.       
Centrolobium paraense,Tul.       
Centrosema molle,Benth.       
Centrosema plumieri,(Pers.) Benth.      
Centrosema pubescens,Benth.       
Centrosema virginianum,(L.) Benth.      
Centrostachys aquatica,(R.Br.) Moq.      
Cephalotaxus harringtonii,(Knight ex J.Forbes) K.Koch    
Cerastium glomeratum,Thuill.       
Ceratocephalus falcatus,(L.) Pers.      
Ceratonia siliqua,L.       
Ceratophyllum demersum,L.       
Ceratotheca triloba,(Bernh.) Hook.f.      
Cereus fernambucensis,Lem.       
Cereus forbesii,C.F.F??rst.       
Cereus hexagonus,(L.) Mill.      
Cereus hildmannianus,K.Schum.       
Cereus repandus,(L.) Mill.      
Cestrum aurantiacum,Lindl.       
Cestrum corymbosum,Schltdl.       
Cestrum diurnum,L.       
Cestrum elegans,(Brongn. ex Neumann) Schltdl.    
Cestrum fasciculatum,(Schltdl.) Miers      
Cestrum nocturnum,L.       
Cestrum parqui,(Lam.) L'H»r.      
Chaenomeles speciosa,(Sweet) Nakai      
Chamaecrista absus,(L.) H.S.Irwin & Barneby    
Chamaecrista pumila,(Lam.) K.Larsen      
Chamaecrista rotundifolia,(Pers.) Greene      
Chamaerops humilis,L.       
Cheniella corymbosa,(Roxb. ex DC.) R.Clark & Mackinder  
Chenopodium album,L.       
Chenopodium foliosum,Asch.       
Chenopodium murale,L.       
Chenopodium opulifolium,Schrad. ex W.D.J.Koch & Ziz   
Chimonanthus praecox,(L.) Link      
Chiococca alba,(L.) Hitchc.      
Chionochloa conspicua,(G.Forst.) Zotov      
Chloris barbata,Sw.       
Chloris gayana,Kunth       
Chloris pycnothrix,Trin.       
Chlorophytum comosum,(Thunb.) Jacques      
Choisya ternata,Kunth       
Chonemorpha fragrans,(Moon) Alston      
Chorizema ilicifolium,Labill.       
Christella dentata,(Forssk.) Brownsey & Jermy    
Christia vespertilionis,(L.f.) Bakh.f.      
Chromolaena corymbosa,(Aubl.) R.M.King & H.Rob.    
Chromolaena odorata,(L.) R.M.King & H.Rob.    
Chrozophora plicata,(Vahl) A.Juss. ex Spreng.    
Chrozophora rottleri,(Geiseler) A.Juss. ex Spreng.    
Chrysanthemoides monilifera,(L.) Norl.      
Chrysanthemum indicum,L.       
Chrysobalanus icaco,L.       
Chrysophyllum cainito,L.       
Chrysophyllum oliviforme,L.       
Chrysothemis pulchella,(Donn ex Sims) Decne.    
Cicer arietinum,L.       
Cichorium endivia,L.       
Cichorium intybus,L.       
Cinchona calisaya,Wedd.       
Cinchona officinalis,L.       
Cinchona pubescens,Vahl       
Cinnamomum burmanni,(Nees & T.Nees) Blume    
Cinnamomum camphora,(L.) J.Presl      
Cinnamomum verum,J.Presl       
Cinnamomun cassia,(L.) J.Presl      
Cipura paludosa,Aubl.       
Cirsium arvense,(L.) Scop.      
Cissampelos pareira,L.       
Citharexylum spinosum,L.       
Citrullus colocynthis,(L.) Schrad.      
Citrullus lanatus,(Thunb.) Matsum. & Nakai    
Citrus aurantiifolia,(Christm.) Swingle      
Citrus maxima,(Burm.) Merr.      
Citrus paradisi,Macfad.       
Citrus reticulata,Blanco       
Cladium mariscus,(L.) Pohl      
Clarkia amoena,(Lehm.) A.Nelson & J.F.Macbr.    
Clarkia pulchella,Pursh       
Clarkia unguiculata,Lindl.       
Clausena lansium,(Lour.) Skeels      
Clematis flammula,L.       
Clematis recta,L.       
Clematis terniflora,DC.       
Clematis vitalba,L.       
Cleome gynandra,L.       
Cleome monophylla,L.       
Cleome rosea,Vahl ex DC.     
Cleome rutidosperma,DC.       
Cleome spinosa,Jacq.       
Cleome viscosa,L.       
Cleoserrata speciosa,(Raf.) Iltis      
Clerodendrum calamitosum,L.       
Clerodendrum capitatum,(Willd.) Schumach. & Thonn.    
Clerodendrum chinense,(Osbeck) Mabb.      
Clerodendrum glandulosum,Lindl.       
Clerodendrum japonicum,(Thunb.) Sweet      
Clerodendrum paniculatum,L.       
Clerodendrum speciosissimum,Drapiez       
Clerodendrum splendens,G.Don       
Clerodendrum thomsoniae,Balf.f.       
Clethra arborea,Aiton       
Clianthus puniceus,(G.Don) Lindl.      
Clidemia hirta,(L.) D. Don     
Clinanthus coccineus,(Ruiz & Pav.) Meerow    
Clinopodium vulgare,L.       
Clitoria ternatea,L.       
Clusia rosea,Jacq.       
Cobaea scandens,Cav.       
Coccoloba uvifera,(L.) L.      
Coccothrinax barbadensis,(Lodd. ex Mart.) Becc.    
Cocos nucifera,L.       
Codiaeum variegatum,(L.) Rumph. ex A.Juss.    
Coffea arabica,L.       
Coffea canephora,Pierre ex A.Froehner     
Coffea liberica,Hiern       
Coffea stenophylla,G.Don       
Coix lacryma-jobi,L.       
Cola acuminata,(P.Beauv.) Schott & Endl.    
Cola nitida,(Vent.) Schott & Endl.    
Coldenia procumbens,L.       
Colea colei,(Bojer ex Hook.) M.L.Green    
Colletia paradoxa,(Spreng.) Escal.      
